Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.452,0.08,0.327,0.907
1: possession of nociceptors,7.878,3.0,9.0,9.0
2: possession of integrative brain regions,8.695,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,10.613,5.0,10.0,15.0
4: behavioural response modulated by chemical compounds,11.502,6.0,11.0,16.0
5: evidence of motivational trade-offs,13.714,5.0,15.0,20.0
6: flexible self-protective behaviour,5.208,1.0,6.0,6.0
7: evidence of associative learning,19.614,11.0,21.0,27.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,6.242,0.0,5.0,10.0
9: evidence of affective states,16.866,10.0,15.0,25.0
