Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.865,0.616,0.888,0.99
1: possession of nociceptors,7.871,3.0,9.0,9.0
2: possession of integrative brain regions,8.79,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,13.15,10.0,15.0,15.0
4: behavioural response modulated by chemical compounds,11.5,6.0,11.0,16.0
5: evidence of motivational trade-offs,10.665,5.0,10.0,15.0
6: flexible self-protective behaviour,5.264,1.0,6.0,6.0
7: evidence of associative learning,23.656,17.0,26.0,27.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,5.015,0.0,5.0,10.0
9: evidence of affective states,26.213,20.0,25.0,30.0
