Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.769,0.431,0.758,0.99
1: possession of nociceptors,7.018,3.0,8.0,8.0
2: possession of integrative brain regions,7.51,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,11.873,5.0,10.0,15.0
4: behavioural response modulated by chemical compounds,8.102,5.0,10.0,11.0
5: evidence of motivational trade-offs,13.884,5.0,15.0,20.0
6: flexible self-protective behaviour,5.225,1.0,6.0,6.0
7: evidence of associative learning,24.204,16.0,26.0,32.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,4.364,0.0,5.0,5.0
9: evidence of affective states,13.757,5.0,15.0,20.0
