Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.921,0.732,0.966,0.99
1: possession of nociceptors,7.84,3.0,9.0,9.0
2: possession of integrative brain regions,8.724,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,17.526,10.0,20.0,20.0
4: behavioural response modulated by chemical compounds,12.748,6.0,11.0,16.0
5: evidence of motivational trade-offs,13.094,10.0,15.0,15.0
6: flexible self-protective behaviour,5.254,1.0,6.0,6.0
7: evidence of associative learning,32.365,26.0,32.0,37.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,3.112,0.0,5.0,5.0
9: evidence of affective states,30.631,25.0,30.0,35.0
