Species,Mean,5th-pct,50th-pct,95th-pct
overall,0.446,0.076,0.323,0.897
1: possession of nociceptors,6.98,3.0,8.0,8.0
2: possession of integrative brain regions,8.757,5.0,10.0,10.0
3: possession of neural pathways connecting nociceptiorrs to brain regions,7.491,5.0,10.0,10.0
4: behavioural response modulated by chemical compounds,12.79,6.0,11.0,16.0
5: evidence of motivational trade-offs,15.007,10.0,15.0,20.0
6: flexible self-protective behaviour,5.258,1.0,6.0,6.0
7: evidence of associative learning,17.996,11.0,17.0,22.0
8: evidence that the animal values a putative analgesic/anaesthetic when injured,6.246,0.0,5.0,10.0
9: evidence of affective states,13.758,5.0,15.0,20.0
