hc proxies
attention bias
body awareness
cross-modal learning
experience projection
inhibitory control
judgment bias
mental time travel
mirror mark recognition
motivational trade-off
perspective taking
responses to novelty
reversal learning
shared intentionality
social learning
socio-spatial cognition
temporal/spatial discounting
theory of mind
associative learning from pain
boredom-like behavior
concept of death
displacement behavior
emotional contagion
emotional reactions to learning
fear-like behavior
flexible self-protective behavior
hyperalgesia
liking-wanting dissociation
play behavior
prioritizes pain response in relevant context
ptsd-like behavior
relief learning
response modified by painkillers
self-medication
taste aversion behavior
trace conditioning and pain
