proxies,pigs,chickens,carp,salmon,octopuses,shrimp,crabs,crayfish,bees,bsf,silkworms
a not b detour test,likely yes,likely yes,unknown,unknown,unknown,unknown,unknown,unknown,likely yes,unknown,unknown
attention bias,lean yes,lean yes,unknown,unknown,lean yes,unknown,unknown,unknown,unknown,unknown,unknown
body awareness,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
communication,likely yes,likely yes,likely yes,likely yes,likely yes,lean yes,likely yes,likely yes,likely yes,likely yes,likely yes
cooperative behavior,lean yes,lean yes,lean yes,unknown,lean yes,lean yes,lean yes,likely yes,lean yes,lean yes,lean yes
cross-modal learning,unknown,likely yes,lean yes,unknown,lean no,unknown,unknown,unknown,likely yes,likely yes,lean yes
experience projection,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
gratification delay,likely yes,likely yes,unknown,unknown,unknown,unknown,unknown,unknown,likely yes,unknown,unknown
individual differences/personality,likely yes,likely yes,likely yes,likely yes,likely yes,likely yes,likely yes,likely yes,lean yes,likely yes,lean yes
inhibitory control,lean yes,likely yes,lean yes,unknown,lean yes,unknown,unknown,unknown,likely yes,unknown,unknown
judgment bias,likely yes,likely yes,lean yes,unknown,lean yes,unknown,unknown,lean yes,likely yes,lean yes,unknown
memory bias,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
mental time travel,lean yes,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
mirror mark recognition,lean yes,likely no,unknown,unknown,lean no,unknown,unknown,unknown,unknown,unknown,unknown
motivational trade-off,likely yes,likely yes,lean yes,lean yes,lean yes,lean yes,likely yes,likely yes,likely yes,lean yes,lean yes
multimodal integration,lean yes,likely yes,lean yes,unknown,likely yes,lean yes,lean yes,likely yes,likely yes,lean yes,likely yes
navigation strategies,likely yes,likely yes,likely yes,likely yes,likely yes,lean yes,likely yes,likely yes,likely yes,likely yes,likely yes
numerical cognition,unknown,lean yes,lean yes,unknown,unknown,unknown,unknown,unknown,likely yes,unknown,unknown
object permanence,likely yes,likely yes,lean yes,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown
perspective taking,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
physical reasoning,lean yes,likely yes,unknown,unknown,lean yes,unknown,unknown,unknown,unknown,unknown,unknown
problem-solving,likely yes,likely yes,unknown,unknown,likely yes,lean yes,unknown,unknown,likely yes,unknown,unknown
response-slowing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
responses to novelty,likely yes,likely yes,lean yes,likely yes,likely yes,unknown,unknown,likely yes,likely yes,unknown,unknown
reversal learning,likely yes,likely yes,lean yes,lean yes,lean yes,lean yes,likely yes,lean yes,likely yes,lean yes,lean yes
reverse reward test,unknown,unknown,unknown,unknown,lean yes,unknown,unknown,unknown,unknown,unknown,unknown
shared intentionality,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
social learning,likely yes,likely yes,likely yes,likely yes,lean yes,unknown,unknown,lean yes,likely yes,unknown,unknown
socio-spatial cognition,lean yes,likely yes,lean yes,likely yes,unknown,unknown,unknown,unknown,likely yes,unknown,unknown
symbolic representation of the world,unknown,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
temporal/spatial discounting,lean yes,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,lean yes,unknown,unknown
theory of mind,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
tool use,lean yes,unknown,unknown,unknown,likely yes,unknown,lean yes,unknown,lean yes,unknown,unknown
transitive inference,lean yes,likely yes,unknown,likely yes,unknown,unknown,unknown,unknown,lean no,unknown,unknown
uncertainty monitoring,unknown,unknown,unknown,unknown,unknown,lean yes,unknown,lean yes,lean yes,unknown,unknown
anxiety-like behavior,likely yes,likely yes,likely yes,likely yes,likely yes,lean yes,lean yes,likely yes,lean yes,lean yes,unknown
associative learning from pain,unknown,likely yes,likely yes,likely yes,likely yes,unknown,lean yes,unknown,lean yes,likely yes,unknown
