Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.85,0.659,0.864,0.983
cows,0.85,0.657,0.863,0.983
chickens,0.817,0.576,0.822,0.983
octopuses,0.749,0.416,0.729,0.985
bees,0.45,0.037,0.406,0.863
bsf,0.457,0.135,0.325,0.853
crabs,0.434,0.08,0.311,0.856
crayfish,0.434,0.078,0.311,0.862
salmon,0.433,0.075,0.311,0.861
carp,0.432,0.077,0.31,0.858
fruit_flies,0.425,0.064,0.309,0.859
ants,0.334,0.036,0.258,0.632
spiders,0.316,0.02,0.255,0.625
cockroaches,0.297,0.02,0.205,0.63
silkworms,0.11,0.003,0.052,0.317
earthworms,0.107,0.003,0.051,0.311
sea_hares,0.16,0.002,0.05,0.47
c_elegans,0.078,0.0,0.005,0.306
