Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.925,0.737,0.973,0.99
cows,0.91,0.712,0.945,0.99
chickens,0.876,0.629,0.904,0.99
octopuses,0.783,0.439,0.775,0.99
bees,0.466,0.038,0.422,0.905
fruit_flies,0.451,0.067,0.329,0.919
carp,0.453,0.081,0.328,0.912
crayfish,0.453,0.082,0.327,0.91
salmon,0.451,0.078,0.327,0.909
crabs,0.426,0.078,0.308,0.85
ants,0.3,0.032,0.234,0.58
bsf,0.294,0.079,0.218,0.574
spiders,0.257,0.016,0.208,0.521
cockroaches,0.265,0.018,0.184,0.57
earthworms,0.083,0.002,0.041,0.244
sea_hares,0.128,0.002,0.04,0.384
silkworms,0.082,0.002,0.039,0.239
c_elegans,0.068,0.0,0.004,0.268
