Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.924,0.735,0.971,0.99
cows,0.908,0.711,0.942,0.99
chickens,0.874,0.626,0.901,0.99
octopuses,0.783,0.439,0.775,0.99
bees,0.466,0.038,0.422,0.905
fruit_flies,0.45,0.067,0.328,0.916
carp,0.452,0.08,0.327,0.908
crayfish,0.452,0.082,0.326,0.906
salmon,0.45,0.078,0.326,0.905
crabs,0.427,0.078,0.308,0.851
ants,0.301,0.033,0.235,0.583
bsf,0.293,0.078,0.218,0.572
spiders,0.257,0.016,0.208,0.521
cockroaches,0.264,0.018,0.183,0.568
earthworms,0.083,0.002,0.041,0.243
sea_hares,0.128,0.002,0.04,0.383
silkworms,0.082,0.002,0.039,0.238
c_elegans,0.068,0.0,0.004,0.267
