Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.921,0.732,0.966,0.99
cows,0.901,0.703,0.931,0.99
chickens,0.865,0.616,0.888,0.99
octopuses,0.769,0.431,0.758,0.99
bees,0.452,0.037,0.409,0.877
carp,0.452,0.08,0.327,0.907
fruit_flies,0.445,0.067,0.326,0.907
salmon,0.446,0.076,0.323,0.897
crayfish,0.445,0.081,0.321,0.894
crabs,0.424,0.077,0.306,0.848
bsf,0.289,0.083,0.219,0.575
ants,0.268,0.029,0.209,0.519
spiders,0.238,0.015,0.194,0.49
cockroaches,0.259,0.017,0.18,0.558
earthworms,0.085,0.002,0.042,0.249
sea_hares,0.133,0.002,0.042,0.398
silkworms,0.081,0.002,0.039,0.235
c_elegans,0.069,0.0,0.004,0.272
