Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.926,0.739,0.975,0.99
cows,0.911,0.714,0.947,0.99
chickens,0.877,0.629,0.906,0.99
octopuses,0.784,0.44,0.777,0.99
bees,0.467,0.038,0.424,0.908
fruit_flies,0.452,0.067,0.33,0.921
carp,0.454,0.081,0.329,0.914
crayfish,0.454,0.082,0.328,0.912
salmon,0.452,0.078,0.327,0.911
crabs,0.428,0.078,0.309,0.853
ants,0.301,0.033,0.235,0.583
bsf,0.298,0.084,0.221,0.58
spiders,0.259,0.016,0.209,0.525
cockroaches,0.266,0.018,0.184,0.573
earthworms,0.084,0.002,0.041,0.245
sea_hares,0.129,0.002,0.041,0.387
silkworms,0.083,0.002,0.04,0.241
c_elegans,0.068,0.0,0.004,0.27
