Species,Mean,5th-pct,50th-pct,95th-pct
pigs,0.923,0.733,0.967,0.99
cows,0.907,0.711,0.941,0.99
chickens,0.873,0.625,0.898,0.99
octopuses,0.783,0.439,0.774,0.99
bees,0.467,0.038,0.423,0.905
fruit_flies,0.449,0.067,0.327,0.914
carp,0.452,0.08,0.327,0.906
crayfish,0.452,0.082,0.325,0.903
salmon,0.449,0.077,0.325,0.901
crabs,0.429,0.078,0.309,0.855
ants,0.305,0.033,0.238,0.589
bsf,0.307,0.09,0.225,0.589
spiders,0.264,0.017,0.213,0.532
cockroaches,0.269,0.018,0.186,0.577
earthworms,0.086,0.002,0.042,0.253
sea_hares,0.133,0.002,0.042,0.396
silkworms,0.084,0.002,0.04,0.243
c_elegans,0.069,0.0,0.004,0.271
